2015-04-11T13:13:16.091+0200 I NETWORK  [conn18] end connection 127.0.0.1:4583 (2 connections now open)
2015-04-11T13:13:16.091+0200 I NETWORK  [conn17] end connection 127.0.0.1:4582 (3 connections now open)
2015-04-11T13:13:16.091+0200 I NETWORK  [conn16] end connection 127.0.0.1:4581 (0 connections now open)
2015-04-11T13:13:20.815+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4781 #21 (1 connection now open)
2015-04-11T13:13:20.815+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4782 #22 (2 connections now open)
2015-04-11T13:13:20.817+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4783 #23 (3 connections now open)
2015-04-11T13:13:20.818+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4784 #24 (4 connections now open)
2015-04-11T13:13:20.819+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4785 #25 (5 connections now open)
2015-04-11T13:14:26.058+0200 I NETWORK  [conn23] end connection 127.0.0.1:4783 (4 connections now open)
2015-04-11T13:14:26.059+0200 I NETWORK  [conn22] end connection 127.0.0.1:4782 (3 connections now open)
2015-04-11T13:14:26.059+0200 I NETWORK  [conn25] end connection 127.0.0.1:4785 (2 connections now open)
2015-04-11T13:14:26.062+0200 I NETWORK  [conn21] end connection 127.0.0.1:4781 (1 connection now open)
2015-04-11T13:14:26.064+0200 I NETWORK  [conn24] end connection 127.0.0.1:4784 (0 connections now open)
2015-04-11T13:14:32.736+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4836 #26 (1 connection now open)
2015-04-11T13:14:32.737+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4837 #27 (2 connections now open)
2015-04-11T13:14:32.737+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4838 #28 (3 connections now open)
2015-04-11T13:14:32.737+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4839 #29 (4 connections now open)
2015-04-11T13:14:32.737+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4840 #30 (5 connections now open)
2015-04-11T13:15:15.913+0200 I NETWORK  [conn27] end connection 127.0.0.1:4837 (4 connections now open)
2015-04-11T13:15:15.913+0200 I NETWORK  [conn30] end connection 127.0.0.1:4840 (3 connections now open)
2015-04-11T13:15:15.913+0200 I NETWORK  [conn26] end connection 127.0.0.1:4836 (2 connections now open)
2015-04-11T13:15:15.913+0200 I NETWORK  [conn28] end connection 127.0.0.1:4838 (1 connection now open)
2015-04-11T13:15:15.913+0200 I NETWORK  [conn29] end connection 127.0.0.1:4839 (1 connection now open)
2015-04-11T13:15:22.813+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4877 #31 (1 connection now open)
2015-04-11T13:15:22.813+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4878 #32 (2 connections now open)
2015-04-11T13:15:22.814+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4879 #33 (3 connections now open)
2015-04-11T13:15:22.814+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4880 #34 (4 connections now open)
2015-04-11T13:15:22.814+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4881 #35 (5 connections now open)
2015-04-11T13:16:54.264+0200 I NETWORK  [conn32] end connection 127.0.0.1:4878 (4 connections now open)
2015-04-11T13:16:54.264+0200 I NETWORK  [conn31] end connection 127.0.0.1:4877 (4 connections now open)
2015-04-11T13:16:54.264+0200 I NETWORK  [conn33] end connection 127.0.0.1:4879 (2 connections now open)
2015-04-11T13:16:54.264+0200 I NETWORK  [conn35] end connection 127.0.0.1:4881 (2 connections now open)
2015-04-11T13:16:54.265+0200 I NETWORK  [conn34] end connection 127.0.0.1:4880 (2 connections now open)
2015-04-11T13:17:00.952+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4944 #36 (1 connection now open)
2015-04-11T13:17:00.952+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4945 #37 (2 connections now open)
2015-04-11T13:17:00.953+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4946 #38 (3 connections now open)
2015-04-11T13:17:00.953+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4947 #39 (4 connections now open)
2015-04-11T13:17:00.953+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4948 #40 (5 connections now open)
2015-04-11T13:17:18.456+0200 I NETWORK  [conn37] end connection 127.0.0.1:4945 (4 connections now open)
2015-04-11T13:17:18.456+0200 I NETWORK  [conn38] end connection 127.0.0.1:4946 (4 connections now open)
2015-04-11T13:17:18.456+0200 I NETWORK  [conn40] end connection 127.0.0.1:4948 (2 connections now open)
2015-04-11T13:17:18.457+0200 I NETWORK  [conn39] end connection 127.0.0.1:4947 (1 connection now open)
2015-04-11T13:17:18.457+0200 I NETWORK  [conn36] end connection 127.0.0.1:4944 (0 connections now open)
2015-04-11T13:17:24.436+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4967 #41 (1 connection now open)
2015-04-11T13:17:24.436+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4968 #42 (2 connections now open)
2015-04-11T13:17:24.436+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4969 #43 (3 connections now open)
2015-04-11T13:17:24.437+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4970 #44 (4 connections now open)
2015-04-11T13:17:24.437+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:4971 #45 (5 connections now open)
2015-04-11T13:18:30.792+0200 I NETWORK  [conn41] end connection 127.0.0.1:4967 (4 connections now open)
2015-04-11T13:18:30.793+0200 I NETWORK  [conn43] end connection 127.0.0.1:4969 (3 connections now open)
2015-04-11T13:18:30.793+0200 I NETWORK  [conn44] end connection 127.0.0.1:4970 (2 connections now open)
2015-04-11T13:18:30.793+0200 I NETWORK  [conn42] end connection 127.0.0.1:4968 (2 connections now open)
2015-04-11T13:18:30.793+0200 I NETWORK  [conn45] end connection 127.0.0.1:4971 (0 connections now open)
2015-04-11T13:18:38.433+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5019 #46 (1 connection now open)
2015-04-11T13:18:38.434+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5020 #47 (2 connections now open)
2015-04-11T13:18:38.434+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5021 #48 (3 connections now open)
2015-04-11T13:18:38.434+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5022 #49 (4 connections now open)
2015-04-11T13:18:38.434+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5023 #50 (5 connections now open)
2015-04-11T13:20:49.543+0200 I NETWORK  [conn46] end connection 127.0.0.1:5019 (4 connections now open)
2015-04-11T13:20:49.543+0200 I NETWORK  [conn48] end connection 127.0.0.1:5021 (4 connections now open)
2015-04-11T13:20:49.543+0200 I NETWORK  [conn49] end connection 127.0.0.1:5022 (4 connections now open)
2015-04-11T13:20:49.543+0200 I NETWORK  [conn50] end connection 127.0.0.1:5023 (4 connections now open)
2015-04-11T13:20:49.544+0200 I NETWORK  [conn47] end connection 127.0.0.1:5020 (0 connections now open)
2015-04-11T13:20:59.375+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5118 #51 (1 connection now open)
2015-04-11T13:20:59.376+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5119 #52 (2 connections now open)
2015-04-11T13:20:59.376+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5120 #53 (3 connections now open)
2015-04-11T13:20:59.376+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5121 #54 (4 connections now open)
2015-04-11T13:20:59.376+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5122 #55 (5 connections now open)
2015-04-11T13:22:11.349+0200 I NETWORK  [conn51] end connection 127.0.0.1:5118 (4 connections now open)
2015-04-11T13:22:11.349+0200 I NETWORK  [conn52] end connection 127.0.0.1:5119 (4 connections now open)
2015-04-11T13:22:11.350+0200 I NETWORK  [conn54] end connection 127.0.0.1:5121 (2 connections now open)
2015-04-11T13:22:11.350+0200 I NETWORK  [conn55] end connection 127.0.0.1:5122 (2 connections now open)
2015-04-11T13:22:11.350+0200 I NETWORK  [conn53] end connection 127.0.0.1:5120 (0 connections now open)
2015-04-11T13:22:20.677+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5173 #56 (1 connection now open)
2015-04-11T13:22:20.677+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5174 #57 (2 connections now open)
2015-04-11T13:22:20.677+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5175 #58 (3 connections now open)
2015-04-11T13:22:20.677+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5176 #59 (4 connections now open)
2015-04-11T13:22:20.678+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5177 #60 (5 connections now open)
2015-04-11T13:25:42.437+0200 I NETWORK  [conn58] end connection 127.0.0.1:5175 (4 connections now open)
2015-04-11T13:25:42.437+0200 I NETWORK  [conn60] end connection 127.0.0.1:5177 (4 connections now open)
2015-04-11T13:25:42.437+0200 I NETWORK  [conn59] end connection 127.0.0.1:5176 (2 connections now open)
2015-04-11T13:25:42.438+0200 I NETWORK  [conn57] end connection 127.0.0.1:5174 (1 connection now open)
2015-04-11T13:25:42.438+0200 I NETWORK  [conn56] end connection 127.0.0.1:5173 (0 connections now open)
2015-04-11T13:25:48.521+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5315 #61 (1 connection now open)
2015-04-11T13:25:48.521+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5316 #62 (2 connections now open)
2015-04-11T13:25:48.521+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5317 #63 (3 connections now open)
2015-04-11T13:25:48.522+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5318 #64 (4 connections now open)
2015-04-11T13:25:48.522+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5319 #65 (5 connections now open)
2015-04-11T13:26:53.669+0200 I NETWORK  [conn63] end connection 127.0.0.1:5317 (4 connections now open)
2015-04-11T13:26:53.670+0200 I NETWORK  [conn62] end connection 127.0.0.1:5316 (3 connections now open)
2015-04-11T13:26:53.669+0200 I NETWORK  [conn61] end connection 127.0.0.1:5315 (4 connections now open)
2015-04-11T13:26:53.670+0200 I NETWORK  [conn65] end connection 127.0.0.1:5319 (1 connection now open)
2015-04-11T13:26:53.670+0200 I NETWORK  [conn64] end connection 127.0.0.1:5318 (0 connections now open)
2015-04-11T13:27:01.330+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5367 #66 (1 connection now open)
2015-04-11T13:27:01.330+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5368 #67 (2 connections now open)
2015-04-11T13:27:01.331+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5369 #68 (3 connections now open)
2015-04-11T13:27:01.331+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5370 #69 (4 connections now open)
2015-04-11T13:27:01.331+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5371 #70 (5 connections now open)
2015-04-11T13:33:18.322+0200 I NETWORK  [conn68] end connection 127.0.0.1:5369 (4 connections now open)
2015-04-11T13:33:18.322+0200 I NETWORK  [conn67] end connection 127.0.0.1:5368 (4 connections now open)
2015-04-11T13:33:18.322+0200 I NETWORK  [conn66] end connection 127.0.0.1:5367 (4 connections now open)
2015-04-11T13:33:18.322+0200 I NETWORK  [conn69] end connection 127.0.0.1:5370 (4 connections now open)
2015-04-11T13:33:18.322+0200 I NETWORK  [conn70] end connection 127.0.0.1:5371 (4 connections now open)
2015-04-11T13:33:23.834+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5628 #71 (1 connection now open)
2015-04-11T13:33:23.834+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5629 #72 (2 connections now open)
2015-04-11T13:33:23.834+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5630 #73 (3 connections now open)
